Pick,Ross,Jawad,Tilo,Jared,AJ
1,0,40,0,0,0
2,0,75,0,0,0
3,0,110,0,0,0
4,0,110,0,35,0
5,0,110,35,35,0
6,35,110,35,35,0
7,70,110,35,35,0
8,70,110,35,70,0
9,70,110,35,70,35
10,70,110,70,70,35
11,70,110,70,70,65
12,70,110,100,70,65
13,70,110,140,70,65
14,70,110,140,110,65
15,70,110,170,110,65
16,70,110,170,140,65
17,100,110,170,140,65
18,100,110,210,140,65
19,100,140,210,140,65
20,100,180,210,140,65
21,100,180,210,140,90
22,100,215,210,140,90
23,135,215,210,140,90
24,135,215,210,140,115
25,135,215,245,140,115
26,135,215,280,140,115
27,135,215,305,140,115
28,135,240,305,140,115
29,135,240,305,165,115
30,170,240,305,165,115
31,170,240,305,165,150
32,170,265,305,165,150
33,170,265,305,185,150
34,170,265,335,185,150
35,170,265,335,205,150
36,170,265,365,205,150
37,190,265,365,205,150
38,190,285,365,205,150
39,190,285,365,205,150
40,190,285,365,205,180
41,190,285,365,205,210
42,190,285,365,225,210
43,190,285,365,255,210
44,190,315,365,255,210
45,190,315,365,275,210
46,190,335,365,275,210
47,210,335,365,275,210
48,210,335,365,295,210
49,210,335,365,310,210
50,225,335,365,310,210
51,225,335,380,310,210
52,225,335,380,310,210
53,250,335,380,310,210
54,250,335,395,310,210
55,250,360,395,310,210
56,250,360,420,310,210
57,250,360,420,310,235
58,265,360,420,310,235
59,265,360,420,310,260
60,265,360,420,310,285
61,265,375,420,310,285
62,265,375,420,310,285
63,265,375,445,310,285
64,265,375,445,310,285
65,265,375,445,310,285
66,265,375,445,310,285
67,265,375,445,320,285
68,265,375,445,320,305
69,265,395,445,320,305
70,265,395,445,330,305
71,285,395,445,330,305
72,285,405,445,330,305
73,285,415,445,330,305
74,285,415,445,330,325
75,285,435,445,330,325
76,285,435,445,330,325
77,285,435,455,330,325
78,285,435,455,340,325
79,285,435,455,340,335
80,285,435,455,340,335
81,285,435,455,360,335
82,295,435,455,360,335
83,295,455,455,360,335
84,295,455,465,360,335
85,315,455,465,360,335
86,325,455,465,360,335
87,325,455,475,360,335
88,325,455,495,360,335
89,325,455,505,360,335
90,325,455,505,360,345
91,325,455,505,360,345
92,325,455,505,370,345
93,325,455,505,370,345
94,325,455,505,370,345
95,325,455,505,370,365
96,325,455,505,370,375
97,325,475,505,370,375
98,325,495,505,370,375
99,325,495,505,370,375
100,325,495,505,390,375
101,325,495,505,390,375
102,325,495,505,390,375
103,325,495,505,400,375
104,335,495,505,400,375
105,335,495,505,400,375
106,335,495,515,400,375
107,335,495,515,400,375
108,335,503,515,400,375
109,335,503,515,418,375
110,335,503,515,418,375
111,335,503,515,436,375
112,335,503,515,436,375
113,335,503,515,444,375
114,343,503,515,444,375
115,343,503,515,444,375
116,343,503,515,444,375
117,343,503,515,462,375
118,343,503,523,462,375
119,343,503,523,462,383
120,343,503,523,462,401
121,343,503,523,462,401
122,343,503,523,462,409
123,343,503,523,462,409
124,351,503,523,462,409
125,351,503,523,462,409
126,351,503,523,462,409
127,351,503,523,470,409
128,351,503,523,470,409
129,351,503,523,470,409
130,351,503,523,470,427
131,351,521,523,470,427
132,359,521,523,470,427
133,359,521,523,470,427
134,359,521,523,470,445
135,359,521,523,470,445
136,359,539,523,470,445
137,359,539,541,470,445
138,359,539,541,470,445
139,359,539,541,470,445
140,377,539,541,470,445
141,377,557,541,470,445
142,377,557,541,470,445
143,377,557,541,470,463
144,385,557,541,470,463
145,393,557,541,470,463
146,393,557,541,470,481
147,393,557,541,477,481
148,393,557,541,477,481
149,393,557,541,477,481
150,400,557,541,477,481
151,400,557,548,477,481
152,400,557,548,477,481
153,400,557,548,477,481
154,400,557,548,477,481
155,400,557,548,477,481
156,400,557,548,477,481
157,400,557,548,477,498
158,400,557,555,477,498
159,400,557,555,477,498
160,400,557,555,477,515
161,400,557,555,484,515
162,400,557,555,484,532
163,400,557,555,484,532
164,417,557,555,484,532
165,417,557,555,501,532
166,417,574,555,501,532
167,417,574,555,508,532
168,434,574,555,508,532
169,434,574,555,525,532
170,434,574,572,525,532
171,434,574,572,525,532
172,434,574,572,525,532
173,434,574,572,525,532
174,434,574,572,525,532
175,434,574,572,532,532
176,451,574,572,532,532
177,451,574,572,532,539
178,451,574,572,532,539
179,458,574,572,532,539
180,458,574,572,532,539
181,458,574,572,532,555
182,458,574,572,532,571
183,458,580,572,532,571
184,458,580,572,532,577
185,458,586,572,532,577
186,458,586,572,538,577
187,458,586,572,538,593
188,458,586,572,538,593
189,458,586,572,538,593
190,458,586,572,554,593
191,464,586,572,554,593
192,464,586,572,554,609
193,464,592,572,554,609
194,464,598,572,554,609
195,464,598,572,554,609
196,464,598,572,570,609
197,480,598,572,570,609
198,486,598,572,570,609
199,486,604,572,570,609
200,486,604,572,570,609
201,486,604,572,570,609
202,486,604,572,570,625
203,486,604,572,570,625
204,486,604,572,570,625
205,486,604,572,570,631
206,486,604,572,570,631
207,486,604,572,570,631
WithPropBets,521,624,597,570,671
